ok,duration_sec,num_notes,num_instruments,note_density,polyphony_mean,polyphony_max,pitch_min,pitch_max,pitch_range,pitch_mean,pitch_std,unique_pitches,unique_pitch_ratio,silence_ratio,invalid_short_notes,invalid_long_notes,has_bass_track,dominant_program,dominant_group,instrument_match,pitch_entropy,empty,method,epoch,file,prompt_id,prompt_instrument,prompt_mood,note_density_abs_err_vs_ref,polyphony_mean_abs_err_vs_ref,pitch_mean_abs_err_vs_ref,pitch_std_abs_err_vs_ref,silence_ratio_abs_err_vs_ref,pitch_class_js_vs_ref
1.0,27.95,58.0,1.0,2.0751341681574242,0.2517857142857143,5.0,50.0,74.0,24.0,61.58620689655172,4.487663099556923,14.0,0.2413793103448276,0.9017857142857143,0.017241379310344827,0.0,0.0,64.0,8.0,0.0,2.140567203307107,0.0,transformer,10,p01.mid,p01,piano,happy,2.8391341617953065,1.9289262490254464,4.141339351647069,2.3921638179612996,0.7032701536408357,0.10982343277648612
1.0,45.179545454545455,75.0,4.0,1.6600432617334875,4.498342541436464,11.0,29.0,69.0,40.0,61.24,6.222196825344995,14.0,0.18666666666666668,0.4,0.0,0.0,1.0,24.0,3.0,0.0,2.281959332897873,0.0,transformer,10,p02.mid,p02,piano,sad,3.2542250682192435,2.317630578125303,4.4875462481987896,0.6576300921732274,0.2014844393551214,0.05139838920201995
1.0,58.179545454545455,24.0,1.0,0.41251611391069964,0.2094420600858369,9.0,39.0,79.0,40.0,60.5,8.99536917900909,15.0,0.625,0.9012875536480687,0.0,0.0,0.0,0.0,0.0,0.0,2.5426689148196626,0.0,transformer,10,p03.mid,p03,strings,tense,4.501752216042031,1.9712699032253238,5.2275462481987915,2.1155422614908677,0.70277199300319,0.2244308664412556
1.0,20.620454545454546,15.0,1.0,0.727433043094897,0.9951690821256038,1.0,62.0,72.0,10.0,68.26666666666667,2.619584360585133,6.0,0.4,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,1.0,1.5821699429192504,0.0,transformer,10,p04.mid,p04,full_orchestra,epic,4.186835286857834,1.1855428811855568,2.539120418467874,4.26024255693309,0.1936846427704825,0.1333001685524281
1.0,47.199999999999996,18.0,1.0,0.38135593220338987,0.9978835978835979,1.0,67.0,79.0,12.0,70.83333333333333,3.1313823713426556,7.0,0.3888888888888889,0.0021164021164021165,0.0,0.0,0.0,0.0,0.0,0.0,1.7690361612970138,0.0,transformer,10,p05.mid,p05,flute,peaceful,4.532912397749341,1.1828283654275626,5.105787085134537,3.748444546175567,0.1963991585284765,0.12054398599495719
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,nan,0.0,1.0,transformer,10,p06.mid,p06,synth,mysterious,4.914268329952731,2.1807119633111607,65.72754624819879,6.879826917518223,0.8014844393551214,0.07849690257535458
1.0,50.25909090909091,4.0,2.0,0.07958759157095054,0.04667328699106256,3.0,36.0,59.0,23.0,50.0,8.514693182963201,4.0,1.0,0.9791459781529295,0.0,0.0,1.0,32.0,4.0,0.0,1.3862943611158907,0.0,transformer,10,p07.mid,p07,organ,dark,4.83468073838178,2.134038676320098,15.727546248198792,1.6348662654449786,0.7806304175080508,0.21586142506489095
1.0,14.759090909090908,51.0,2.0,3.455497382198953,0.8047138047138047,6.0,41.0,75.0,34.0,59.84313725490196,6.213118786856764,15.0,0.29411764705882354,0.6835016835016835,0.0,0.0,1.0,0.0,0.0,0.0,2.1245634478413757,0.0,transformer,10,p08.mid,p08,brass,heroic,1.4587709477537776,1.375998158597356,5.88440899329683,0.6667081306614584,0.48498612285680487,0.33238188649024225
1.0,2.7409090909090907,62.0,2.0,22.62023217247098,4.553571428571429,19.0,48.0,99.0,51.0,65.88709677419355,9.007353337797129,27.0,0.43548387096774194,0.05357142857142857,0.11290322580645161,0.0,0.0,8.0,1.0,0.0,2.7178795480816844,0.0,transformer,10,p09.mid,p09,piano,playful,17.70596384251825,2.372859465260268,0.15955052599476005,2.1275264202789064,0.14494413207345005,0.1552324557577557
1.0,16.329545454545453,40.0,3.0,2.4495476687543496,2.8353658536585367,16.0,36.0,76.0,40.0,54.2,9.35200513259055,19.0,0.475,0.7408536585365854,0.0,0.0,1.0,32.0,4.0,0.0,2.696219694208212,0.0,transformer,10,p10.mid,p10,guitar,nostalgic,2.464720661198381,0.654653890347376,11.527546248198789,2.4721782150723275,0.5423380978917067,0.08069064416059979
