ok,duration_sec,num_notes,num_instruments,note_density,polyphony_mean,polyphony_max,pitch_min,pitch_max,pitch_range,pitch_mean,pitch_std,unique_pitches,unique_pitch_ratio,silence_ratio,invalid_short_notes,invalid_long_notes,has_bass_track,dominant_program,dominant_group,instrument_match,pitch_entropy,empty,method,epoch,file,prompt_id,prompt_instrument,prompt_mood,note_density_abs_err_vs_ref,polyphony_mean_abs_err_vs_ref,pitch_mean_abs_err_vs_ref,pitch_std_abs_err_vs_ref,silence_ratio_abs_err_vs_ref,pitch_class_js_vs_ref
1.0,10.665909090909091,1881.0,1.0,176.3562753036437,46.24186046511628,58.0,21.0,108.0,87.0,64.47262094630516,25.952056151478484,88.0,0.04678362573099415,0.009302325581395349,0.0,0.0,0.0,0.0,0.0,1.0,4.455494449125764,0.0,diffusion,30,p01.mid,p01,piano,happy,171.44200697369098,44.06114850180512,1.2549253018936355,19.07222923396026,0.18921323506348328,0.07953756338708107
1.0,10.665909090909091,498.0,1.0,46.690816109098655,83.8,88.0,21.0,108.0,87.0,63.01807228915663,22.725127068951565,88.0,0.17670682730923695,0.009302325581395349,0.0,0.0,0.0,0.0,0.0,1.0,4.317840413935254,0.0,diffusion,30,p02.mid,p02,piano,sad,41.77654777914592,81.61928803668884,2.709473959042164,15.845300151433342,0.18921323506348328,0.08140299702525883
1.0,10.665909090909091,203.0,1.0,19.032601747283188,7.9906976744186045,14.0,21.0,108.0,87.0,65.57142857142857,20.931240267634635,72.0,0.35467980295566504,0.009302325581395349,0.0,0.0,0.0,48.0,6.0,1.0,4.020239050189003,0.0,diffusion,30,p03.mid,p03,strings,tense,14.118333417330458,5.809985711107444,0.15611767677022215,14.051413350116412,0.18921323506348328,0.09935375973759368
1.0,10.665909090909091,2390.0,1.0,224.0784146601321,54.76279069767442,67.0,21.0,108.0,87.0,63.572803347280335,25.776776160186785,88.0,0.03682008368200837,0.009302325581395349,0.0,0.0,0.0,48.0,6.0,1.0,4.461560113854803,0.0,diffusion,30,p04.mid,p04,full_orchestra,epic,219.16414633017936,52.58207873436326,2.154742900918457,18.896949242668562,0.18921323506348328,0.07536703121031205
1.0,10.665909090909091,611.0,1.0,57.285318559556785,75.71627906976744,83.0,21.0,108.0,87.0,67.28314238952537,24.337776378067595,88.0,0.14402618657937807,0.009302325581395349,0.0,0.0,0.0,73.0,9.0,1.0,4.369618343052864,0.0,diffusion,30,p05.mid,p05,flute,peaceful,52.37105022960405,73.53556710645628,1.5555961413265749,17.457949460549372,0.18921323506348328,0.061606227685900544
1.0,10.665909090909091,998.0,1.0,93.56914553590454,79.33023255813953,87.0,21.0,108.0,87.0,64.19138276553106,24.86283908620729,88.0,0.08817635270541083,0.009302325581395349,0.0,0.0,0.0,80.0,10.0,1.0,4.4414935098449035,0.0,diffusion,30,p06.mid,p06,synth,mysterious,88.6548772059518,77.14952059482837,1.5361634826677317,17.98301216868907,0.18921323506348328,0.07395868096000524
1.0,10.665909090909091,112.0,1.0,10.500745791604517,4.381395348837209,10.0,31.0,96.0,65.0,60.276785714285715,14.236026871881732,45.0,0.4017857142857143,0.009302325581395349,0.0,0.0,0.0,16.0,2.0,1.0,3.625291528487922,0.0,diffusion,30,p07.mid,p07,organ,dark,5.5864774616517865,2.2006833855260486,5.450760533913076,7.356199954363509,0.18921323506348328,0.05611887731470109
1.0,10.665909090909091,46.0,1.0,4.312806307266141,2.702325581395349,6.0,62.0,96.0,34.0,80.17391304347827,9.687069705060424,22.0,0.4782608695652174,0.009302325581395349,0.0,0.0,0.0,56.0,7.0,1.0,2.956567267377927,0.0,diffusion,30,p08.mid,p08,brass,heroic,0.6014620226865901,0.5216136180841882,14.446366795279474,2.807242787542201,0.18921323506348328,0.08737254795279623
1.0,10.665909090909091,1064.0,1.0,99.75708502024291,66.07906976744187,80.0,21.0,108.0,87.0,65.52067669172932,25.51498794960335,88.0,0.08270676691729323,0.009302325581395349,0.0,0.0,0.0,0.0,0.0,1.0,4.4377341596630036,0.0,diffusion,30,p09.mid,p09,piano,playful,94.84281669029018,63.898357804130704,0.2068695564694707,18.635161032085126,0.18921323506348328,0.08092990170249856
1.0,10.665909090909091,878.0,1.0,82.31834647347112,69.70232558139534,79.0,21.0,108.0,87.0,64.69362186788155,26.333341163128843,88.0,0.10022779043280182,0.009302325581395349,0.0,0.0,0.0,24.0,3.0,1.0,4.422502822438679,0.0,diffusion,30,p10.mid,p10,guitar,nostalgic,77.40407814351839,67.52161361808419,1.033924380317245,19.45351424561062,0.18921323506348328,0.08261492475040563
1.0,10.665909090909091,51.0,1.0,4.7815896015342,3.4604651162790696,6.0,28.0,95.0,67.0,72.09803921568627,14.404866963417478,34.0,0.6666666666666666,0.009302325581395349,0.0,0.0,0.0,0.0,0.0,1.0,3.411765967367744,0.0,diffusion,30,p11.mid,p11,piano,happy,0.13267872841853112,1.279753152967909,6.370492967487479,7.525040045899255,0.18921323506348328,0.09738664510230519
