ok,duration_sec,num_notes,num_instruments,note_density,polyphony_mean,polyphony_max,pitch_min,pitch_max,pitch_range,pitch_mean,pitch_std,unique_pitches,unique_pitch_ratio,silence_ratio,invalid_short_notes,invalid_long_notes,has_bass_track,dominant_program,dominant_group,instrument_match,pitch_entropy,empty,method,epoch,file,prompt_id,prompt_instrument,prompt_mood,note_density_abs_err_vs_ref,polyphony_mean_abs_err_vs_ref,pitch_mean_abs_err_vs_ref,pitch_std_abs_err_vs_ref,silence_ratio_abs_err_vs_ref,pitch_class_js_vs_ref
1.0,5.3590909090909085,66.0,1.0,12.315521628498729,1.9357798165137614,8.0,43.0,74.0,31.0,61.27272727272727,5.626090344278474,15.0,0.22727272727272727,0.44036697247706424,0.0,0.0,0.0,0.0,0.0,1.0,2.2200476236101094,0.0,transformer,20,p01.mid,p01,piano,happy,7.401253298545998,0.24493214679739927,4.454818975471518,1.253736573239749,0.24185141183218561,0.13428981516921695
1.0,11.979545454545454,55.0,1.0,4.59115917283248,0.5352697095435685,1.0,72.0,89.0,17.0,82.36363636363636,3.497342556667517,7.0,0.12727272727272726,0.46473029045643155,0.0,0.0,0.0,0.0,0.0,1.0,1.2685215023249914,0.0,transformer,20,p02.mid,p02,piano,sad,0.3231091571202507,1.6454422537675923,16.636090115437568,3.3824843608507056,0.2662147298115529,0.21948435092990315
1.0,19.570454545454545,43.0,2.0,2.19718964115666,2.6055979643765905,4.0,36.0,72.0,36.0,64.67441860465117,7.71504398767414,12.0,0.27906976744186046,0.1628498727735369,0.0,0.0,0.0,64.0,8.0,0.0,2.0083062649762353,0.0,transformer,20,p03.mid,p03,strings,tense,2.7170786887960707,0.42488600106542984,1.0531276435476258,0.8352170701559176,0.03566568787134172,0.1782713260749091
1.0,26.5,26.0,1.0,0.9811320754716981,0.9981167608286252,1.0,67.0,72.0,5.0,69.26923076923077,1.7879445075645322,4.0,0.15384615384615385,0.0018832391713747645,0.0,0.0,0.0,0.0,0.0,1.0,1.283433250619632,0.0,transformer,20,p04.mid,p04,full_orchestra,epic,3.933136254481033,1.1825952024825355,3.541684521031982,5.091882409953691,0.19663232147350387,0.20293491174568334
1.0,35.70909090909091,13.0,1.0,0.3640529531568228,0.9972067039106145,1.0,67.0,72.0,5.0,70.76923076923077,1.4756404687116063,4.0,0.3076923076923077,0.002793296089385475,0.0,0.0,0.0,0.0,0.0,0.0,1.2202821662682373,0.0,transformer,20,p05.mid,p05,flute,peaceful,4.550215376795908,1.1835052594005462,5.041684521031982,5.404186448806616,0.19572226455549316,0.2317018109275439
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,nan,0.0,1.0,transformer,20,p06.mid,p06,synth,mysterious,4.914268329952731,2.1807119633111607,65.72754624819879,6.879826917518223,0.8014844393551214,0.07849690257535458
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,nan,0.0,1.0,transformer,20,p07.mid,p07,organ,dark,4.914268329952731,2.1807119633111607,65.72754624819879,6.879826917518223,0.8014844393551214,0.07849690257535458
1.0,13.970454545454544,51.0,1.0,3.6505612493899466,1.0569395017793595,9.0,48.0,72.0,24.0,61.705882352941174,6.146237866185118,13.0,0.2549019607843137,0.5658362989323843,0.0,0.0,0.0,0.0,0.0,0.0,2.2056209881904967,0.0,transformer,20,p08.mid,p08,brass,heroic,1.2637070805627841,1.1237724615318012,4.021663895257618,0.7335890513331051,0.36732073828750567,0.30472487752887784
1.0,4.279545454545454,76.0,1.0,17.758895379713223,3.045977011494253,12.0,43.0,88.0,45.0,65.34210526315789,8.878644739484304,22.0,0.2894736842105263,0.3333333333333333,0.013157894736842105,0.0,0.0,24.0,3.0,0.0,2.7414134862543875,0.0,transformer,20,p09.mid,p09,piano,playful,12.844627049760494,0.8652650481830921,0.3854409850409013,1.9988178219660817,0.13481777268845468,0.11844296284789334
1.0,12.009090909090908,82.0,1.0,6.8281604844814545,0.8760330578512396,6.0,60.0,79.0,19.0,72.17073170731707,2.9541408641248315,13.0,0.15853658536585366,0.5785123966942148,0.0,0.0,0.0,8.0,1.0,0.0,1.9901160422031041,0.0,transformer,20,p10.mid,p10,guitar,nostalgic,1.9138921545287237,1.304678905459921,6.443185459118283,3.9256860533933913,0.3799968360493362,0.08101386719720344
