ok,duration_sec,num_notes,num_instruments,note_density,polyphony_mean,polyphony_max,pitch_min,pitch_max,pitch_range,pitch_mean,pitch_std,unique_pitches,unique_pitch_ratio,silence_ratio,invalid_short_notes,invalid_long_notes,has_bass_track,dominant_program,dominant_group,instrument_match,pitch_entropy,empty,method,epoch,file,prompt_id,prompt_instrument,prompt_mood,note_density_abs_err_vs_ref,polyphony_mean_abs_err_vs_ref,pitch_mean_abs_err_vs_ref,pitch_std_abs_err_vs_ref,silence_ratio_abs_err_vs_ref,pitch_class_js_vs_ref
1.0,31.629545454545454,41.0,1.0,1.2962563770927642,0.4037854889589905,4.0,41.0,72.0,31.0,63.951219512195124,6.439024390243903,8.0,0.1951219512195122,0.8217665615141956,0.0,0.0,0.0,0.0,0.0,1.0,1.6215941838491297,0.0,transformer,30,p01.mid,p01,piano,happy,3.6180119528599666,1.7769264743521702,1.7763267360036679,0.4408025272743199,0.623251000869317,0.19094092544811458
1.0,32.1,78.0,1.0,2.4299065420560746,1.7045101088646968,4.0,45.0,69.0,24.0,61.8974358974359,4.1835751597988216,11.0,0.14102564102564102,0.45878693623639194,0.0,0.0,0.0,0.0,0.0,1.0,2.0440253334690413,0.0,transformer,30,p02.mid,p02,piano,sad,2.484361787896656,0.4762018544464639,3.8301103507628937,2.696251757719401,0.2602713755915133,0.05710512551890115
1.0,2.0,34.0,1.0,17.0,1.7073170731707317,3.0,36.0,60.0,24.0,50.8235294117647,6.67510999352112,6.0,0.17647058823529413,0.24390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,1.4083220962587895,0.0,transformer,30,p03.mid,p03,strings,tense,12.08573167004727,0.473394890140429,14.904016836434089,0.20471692399710228,0.04538687837951161,0.2945776787072795
1.0,14.0,12.0,1.0,0.8571428571428571,0.99644128113879,1.0,69.0,79.0,10.0,73.75,2.6180463454008347,6.0,0.5,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,1.0,1.660947433280918,0.0,transformer,30,p04.mid,p04,full_orchestra,epic,4.057125472809874,1.1842706821723707,8.022453751801208,4.261780572117388,0.19495684178366868,0.1011256186823638
1.0,51.35909090909091,24.0,1.0,0.46729799097265245,0.9980563654033042,1.0,60.0,71.0,11.0,66.70833333333333,2.653286745822162,6.0,0.25,0.001943634596695821,0.0,0.0,0.0,0.0,0.0,0.0,1.5990924388267942,0.0,transformer,30,p05.mid,p05,flute,peaceful,4.446970338980078,1.1826555979078566,0.980787085134537,4.226540171696061,0.1965719260481828,0.1206111994867628
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,nan,0.0,1.0,transformer,30,p06.mid,p06,synth,mysterious,4.914268329952731,2.1807119633111607,65.72754624819879,6.879826917518223,0.8014844393551214,0.07849690257535458
1.0,28.0,21.0,1.0,0.75,0.9982174688057041,1.0,68.0,76.0,8.0,71.95238095238095,2.126391767787248,6.0,0.2857142857142857,0.0017825311942959,0.0,0.0,0.0,0.0,0.0,0.0,1.6448149539331118,0.0,transformer,30,p07.mid,p07,organ,dark,4.164268329952731,1.1824944945054567,6.2248347041821575,4.753435149730975,0.19673302945058274,0.1459012456500398
1.0,15.49090909090909,32.0,1.0,2.0657276995305165,0.3987138263665595,5.0,51.0,80.0,29.0,73.5,4.930770730829005,9.0,0.28125,0.8520900321543409,0.0,0.0,0.0,0.0,0.0,0.0,1.1687777363066536,0.0,transformer,30,p08.mid,p08,brass,heroic,2.8485406304222143,1.7819981369446012,7.7724537518012085,1.9490561866892175,0.6535744715094622,0.5091559399441343
1.0,5.759090909090909,86.0,1.0,14.932912391475929,1.641025641025641,8.0,43.0,83.0,40.0,60.69767441860465,11.640016949801712,18.0,0.20930232558139536,0.26495726495726496,0.0,0.0,0.0,0.0,0.0,1.0,2.605659406304209,0.0,transformer,30,p09.mid,p09,piano,playful,10.018644061523197,0.5396863222855197,5.029871829594143,4.760190032283489,0.06644170431238633,0.14143904705261384
1.0,13.029545454545454,58.0,4.0,4.451421594278737,1.4198473282442747,8.0,28.0,100.0,72.0,65.86206896551724,13.133857636240652,20.0,0.3448275862068966,0.6946564885496184,0.017241379310344827,0.0,1.0,8.0,1.0,0.0,2.6978917073323276,0.0,transformer,30,p10.mid,p10,guitar,nostalgic,0.4628467356739936,0.760864635066886,0.1345227173184469,6.254030718722429,0.49614092790473974,0.04816987221845656
