method,epoch,n_files,infer_time_total_sec,infer_time_per_sample_sec,ok_mean,ok_std,duration_sec_mean,duration_sec_std,num_notes_mean,num_notes_std,num_instruments_mean,num_instruments_std,note_density_mean,note_density_std,polyphony_mean_mean,polyphony_mean_std,polyphony_max_mean,polyphony_max_std,pitch_min_mean,pitch_min_std,pitch_max_mean,pitch_max_std,pitch_range_mean,pitch_range_std,pitch_mean_mean,pitch_mean_std,pitch_std_mean,pitch_std_std,unique_pitches_mean,unique_pitches_std,unique_pitch_ratio_mean,unique_pitch_ratio_std,silence_ratio_mean,silence_ratio_std,invalid_short_notes_mean,invalid_short_notes_std,invalid_long_notes_mean,invalid_long_notes_std,has_bass_track_mean,has_bass_track_std,dominant_program_mean,dominant_program_std,dominant_group_mean,dominant_group_std,instrument_match_mean,instrument_match_std,pitch_entropy_mean,pitch_entropy_std,empty_mean,empty_std,epoch_mean,epoch_std,note_density_abs_err_vs_ref_mean,note_density_abs_err_vs_ref_std,polyphony_mean_abs_err_vs_ref_mean,polyphony_mean_abs_err_vs_ref_std,pitch_mean_abs_err_vs_ref_mean,pitch_mean_abs_err_vs_ref_std,pitch_std_abs_err_vs_ref_mean,pitch_std_abs_err_vs_ref_std,silence_ratio_abs_err_vs_ref_mean,silence_ratio_abs_err_vs_ref_std,pitch_class_js_vs_ref_mean,pitch_class_js_vs_ref_std,pitch_class_js_mean_hist_vs_ref,timestamp
transformer,1,20,78.07233789202292,3.9036168946011456,1.0,0.0,28.031931818181818,30.118632934317056,21.15,15.087329120821881,3.7,2.1,1.5670923352187138,2.0267274528460337,6.918351612592138,4.426667355382801,14.7,8.515280382935138,33.35,11.20836741010929,99.1,15.267285285865329,65.75,20.578811919058886,65.17450927392997,8.642669375667646,18.732600566610838,5.067323617485476,18.3,11.532996141506336,0.9267563778079853,0.09646231930932532,0.19045653150366848,0.26870379199031463,0.0,0.0,0.04454895346825809,0.10839410749031819,0.4,0.48989794855663565,31.6,32.73896760742464,3.95,4.09237095092808,0.15,0.3570714214271425,2.5561496654305556,0.9221624585132931,0.0,0.0,1.0,0.0,3.855749161738744,0.6666406150201191,5.2948387804152235,3.7423649756620443,6.508562510400796,5.71316006079097,12.540756340844435,2.9825227946355075,0.21686700573874956,0.15885646855757027,0.17889635413267954,0.12590160959137509,0.04487896940010411,2026-07-13T01:21:18
diffusion,1,20,49.777156675001606,2.4888578337500804,1.0,0.0,10.66590909090909,1.7763568394002505e-15,963.4,485.1855727451095,1.0,0.0,90.32516513956958,45.48937822455747,79.02697674418604,4.764691798996733,85.45,2.4994999499899975,21.0,0.0,108.0,0.0,87.0,0.0,64.50244460779263,0.7295295230019812,25.501699829112248,0.8461472624186372,88.0,0.0,0.15677907925722046,0.16447614296366467,0.009302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.7,29.339563732271138,4.95,3.653423052426313,1.0,0.0,4.420288246058433,0.03391473951529053,0.0,0.0,1.0,0.0,85.41089680961684,45.48937822455747,76.84626478087489,4.764691798996733,1.2425155549121172,0.6994586835966646,18.62187291159402,0.8461472624186371,0.1892132350634833,2.7755575615628914e-17,0.07394428966456018,0.005924841769625514,0.0722372386069842,2026-07-13T01:22:17
transformer,5,20,102.84696909808554,5.142348454904277,0.85,0.3570714214271425,30.66556818181818,57.93639813592453,35.9,27.252339349127443,1.65,1.3518505834595773,6.146746485524492,12.976865309397088,2.835156469330391,3.0277385773059287,9.05,7.592595076783694,39.85,20.035655716746582,67.05,29.07486027481474,27.2,16.372537982854094,56.994174917418924,25.00834560137872,5.765531265903145,3.196438154412887,12.3,7.981854421122951,0.36232335894939566,0.2309897445949636,0.40092862098382753,0.3927922180884204,0.001020408163265306,0.004447856064837423,0.030357142857142853,0.11023803095750466,0.2,0.4000000000000001,16.25,27.2779672996358,1.9,3.505709628591621,0.17647058823529413,0.3812200410828153,1.8715474455902252,0.886616336062551,0.15,0.3570714214271425,5.0,0.0,6.3313649586854925,11.39437814986516,2.3698086919806,1.9948697369448665,15.290446478971983,21.630796818263068,2.6251793650838953,2.1371254000017057,0.34603213397460764,0.2748063606315899,0.11190556051336906,0.046072391091661655,0.008946089425225217,2026-07-13T01:24:08
diffusion,5,20,51.303838668973185,2.5651919334486593,1.0,0.0,10.66590909090909,1.7763568394002505e-15,1308.5,807.1766535275906,1.0,0.0,122.68058810995099,75.67818613938628,71.97744186046512,12.008532235770724,80.0,8.209750300709517,21.0,0.0,108.0,0.0,87.0,0.0,64.19640839331802,0.8761872457332059,25.996270213425426,0.6272452269700766,88.0,0.0,0.23084548827667156,0.3318143018617838,0.009302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.7,29.339563732271138,4.95,3.653423052426313,1.0,0.0,4.438279755456906,0.027882955614927346,0.0,0.0,5.0,0.0,117.76631977999826,75.67818613938628,69.79672989715395,12.008532235770726,1.5311378548807706,0.8761872457332059,19.116443295907203,0.6272452269700766,0.1892132350634833,2.7755575615628914e-17,0.07471210792484126,0.00529204707940363,0.07369667462026254,2026-07-13T01:25:10
transformer,10,20,85.76373931008857,4.288186965504428,0.95,0.21794494717703372,26.546931818181815,19.039500890262588,35.4,26.135033958271414,1.7,1.3076696830622023,2.787857085492093,4.914936775000392,2.7231016125610505,3.7445046095437533,7.7,6.116371473349211,42.15,14.41622349993229,71.95,19.10098165016657,29.8,16.231450951778772,58.460831086926,14.381374076795979,6.655154077265095,3.485695027435527,13.35,7.850318464877714,0.472627190974785,0.25336854021903776,0.4750002673920009,0.3994632122849912,0.007354687882958466,0.0247485844573136,0.00363499245852187,0.011418694462209406,0.3,0.45825756949558394,13.15,19.013876511642753,1.6,2.4166091947189146,0.21052631578947367,0.40768245749551757,2.04956159589969,0.8101824685832573,0.05,0.21794494717703364,10.0,0.0,4.216207286904536,3.3017910891928,2.4105357719242058,2.916302212525583,8.382641633530277,13.760828057047153,2.868551959455471,1.992977010740552,0.40961450826188717,0.26120988812726537,0.1545685197662089,0.10435225140645195,0.0178016028240282,2026-07-13T01:26:45
diffusion,10,20,52.85023948003072,2.642511974001536,1.0,0.0,10.66590909090909,1.7763568394002505e-15,1322.75,780.0073637472918,1.0,0.0,124.01662049861496,73.13088430615988,61.22813953488371,20.707997816140313,71.15,20.737104426606912,21.0,0.0,106.85,4.78826690985371,85.85,4.78826690985371,65.07693226441957,1.3566219322114939,25.633691699118412,2.760308361992376,85.5,10.670051546267244,0.10857237725968587,0.0987029803077629,0.010232558139534883,0.004054789714921557,0.0,0.0,0.0,0.0,0.0,0.0,39.7,29.339563732271138,4.95,3.653423052426313,1.0,0.0,4.374170498041569,0.21487481149202067,0.0,0.0,10.0,0.0,119.10235216866226,73.1308843061599,59.04742757157256,20.707997816140317,1.3149334615074966,0.7312124278581611,18.753864781600186,2.760308361992376,0.18828300250534377,0.0040547897149215565,0.07978511344114063,0.01640725637340035,0.07757631767928949,2026-07-13T01:27:48
transformer,20,20,81.92914035997819,4.09645701799891,0.9,0.30000000000000004,19.59988636363636,14.966542895307747,40.85,26.24742844546871,0.95,0.3840572873934304,3.6648374473667267,4.572967644025738,1.8698877088597627,1.5783639632847795,5.55,5.417333292312741,46.7,18.36872341780996,66.45,24.34435252784514,19.75,14.056582088118008,57.889378740231066,20.83376505980024,4.260314900652572,2.7592376564441765,10.0,6.123724356957945,0.2824540242560182,0.20684271115050964,0.37056996209034504,0.37766815429690587,0.004106170598911071,0.015152821556610456,0.0,0.0,0.0,0.0,5.9,15.19506498834408,0.65,1.9563997546513852,0.2777777777777778,0.4479032082388083,1.6690646006105443,0.8334087958804185,0.1,0.30000000000000004,20.0,0.0,3.9739812998742527,2.5846824238029105,1.4235207827180485,0.7492883950263063,12.037643190955508,18.723722462618287,3.1051984148667726,2.1984036152517534,0.33293731494089795,0.24776742349779263,0.18144108239663095,0.1210508341542436,0.014889777815850734,2026-07-13T01:29:18
diffusion,20,20,49.823893837979995,2.4911946918989996,1.0,0.0,10.66590909090909,1.7763568394002505e-15,1325.45,1073.3635206676254,1.0,0.0,124.2697634775197,100.63497743314623,49.6160465116279,27.091720838043273,59.0,27.300183149568795,22.85,4.257640191467569,104.1,9.792343948207701,81.25,14.013832452259445,65.40847659191061,3.150364820712765,23.793894069945715,4.946219953990695,78.9,21.48464568011304,0.19864304810584427,0.22725980428798578,0.010930232558139534,0.006113227640974379,0.0,0.0,0.0,0.0,0.0,0.0,39.7,29.339563732271138,4.95,3.653423052426313,1.0,0.0,4.230114868270167,0.45312531575720555,0.0,0.0,20.0,0.0,119.46251967926244,100.50790663809771,47.435334548316746,27.091720838043276,2.380985141542013,2.087465857182959,16.914067152427496,4.9462199539906955,0.1875853280867391,0.00611322764097438,0.0800894567303706,0.018082605603560627,0.07199151818590757,2026-07-13T01:30:18
transformer,30,20,81.55267534707673,4.077633767353836,0.95,0.21794494717703372,16.68340909090909,13.399582763409878,42.35,23.47397495099626,1.25,0.82915619758885,5.558735969983075,6.019337370238205,2.007443277389366,1.8567987526161929,5.05,3.9430318284284747,47.15,15.707561873187068,74.65,19.591516020971934,27.5,15.954623154433953,62.060941616772695,15.644515635340495,6.203224333581796,3.389533682958609,11.95,6.020589672116843,0.30877917969056806,0.16356535550149573,0.33735656211296267,0.33159956276202673,0.0008620689655172414,0.0037576715030523053,0.0,0.0,0.1,0.30000000000000004,0.35,1.7684739183827396,0.0,0.31622776601683794,0.3684210526315789,0.48237638894272,1.9882507961021656,0.6731585321858906,0.05,0.21794494717703364,30.0,0.0,4.768270367750769,3.7297933744139766,1.4274397635749327,1.2000580680130672,8.517711733970462,13.625103515371562,2.7532221905327297,2.0896165232067245,0.29466621406366017,0.20592939567244165,0.14920820177830096,0.11018335094041694,0.009826455831017471,2026-07-13T01:31:48
diffusion,30,20,47.05553595290985,2.3527767976454923,1.0,0.0,10.66590909090909,1.7763568394002505e-15,920.25,801.4444381864535,1.0,0.0,86.2795653100362,75.14075278117186,42.599767441860465,30.1319953057095,51.25,32.119892590106836,25.25,9.585796784827018,104.9,5.300000000000001,79.65,13.990264472124894,66.58706763496694,4.411132567285704,21.80959253576014,5.119132585957988,73.85,21.829509843329053,0.20032791415061646,0.17250930983634785,0.009302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.7,29.339563732271138,4.95,3.653423052426313,1.0,0.0,4.137585962373497,0.44071704541519446,0.0,0.0,30.0,0.0,81.438711055194,75.06117919968345,40.4190554785493,30.1319953057095,2.9112380305580534,3.4236764844115872,14.92976561824192,5.119132585957988,0.1892132350634833,2.7755575615628914e-17,0.0822925096873822,0.01646661289863711,0.07211915650728676,2026-07-13T01:32:44
